,Name,Position,Age,Team_from,League_from,Team_to,League_to,Season,Market_value,Transfer_fee
202,Cristian Ledesma,Central Midfield,23,Lecce,Serie B,Lazio,Serie A,2006-2007,9000000.0,5300000
203,Emiliano Bonazzoli,Centre-Forward,27,Parma,Serie A,Sampdoria,Serie A,2006-2007,5000000.0,5250000
204,Fernando Morientes,Centre-Forward,30,Liverpool,Premier League,Valencia CF,LaLiga,2006-2007,10000000.0,5000000
205,Aleksandr Kerzhakov,Centre-Forward,24,Zenit S-Pb,Premier Liga,Sevilla FC,LaLiga,2006-2007,7500000.0,5000000
206,Diego Milito,Centre-Forward,27,Genoa,Serie B,Real Zaragoza,LaLiga,2006-2007,6000000.0,5000000
207,Benoît Pedretti,Defensive Midfield,25,Olympique Lyon,Ligue 1,AJ Auxerre,Ligue 1,2006-2007,6000000.0,5000000
208,Lilian Thuram,Centre-Back,34,Juventus,Serie B,FC Barcelona,LaLiga,2006-2007,5000000.0,5000000
209,Celsinho,Attacking Midfield,17,Portuguesa, Brazil,Loko Moscow,Premier Liga,2006-2007,5000000.0,5000000
210,Pierre-Alain Frau,Centre-Forward,26,Olympique Lyon,Ligue 1,Paris SG,Ligue 1,2006-2007,4500000.0,5000000
211,Ricardo Rocha,Centre-Back,28,Benfica,Liga NOS,Spurs,Premier League,2006-2007,3600000.0,5000000
212,Johan Elmander,Centre-Forward,25,Bröndby IF,Superligaen,Toulouse,Ligue 1,2006-2007,3500000.0,5000000
213,Benoît Assou-Ekotto,Left-Back,22,Lens,Ligue 1,Spurs,Premier League,2006-2007,2800000.0,5000000
214,Pavel Pogrebnyak,Centre-Forward,23,Tom Tomsk,Premier Liga,Zenit S-Pb,Premier Liga,2006-2007,2500000.0,5000000
215,Mousa Dembélé,Central Midfield,18,Willem II,Eredivisie,AZ Alkmaar,Eredivisie,2006-2007,1750000.0,5000000
216,Denílson,Defensive Midfield,18,São Paulo,Série A,Arsenal,Premier League,2006-2007,6000000.0,5000000
217,Edinson Cavani,Centre-Forward,19,Danubio FC, Uruguay,US Palermo,Serie A,2006-2007,6000000.0,5000000
218,Jan Vennegoor of Hesselink,Centre-Forward,27,PSV Eindhoven,Eredivisie,Celtic,Premiership,2006-2007,8500000.0,4900000
219,Per Mertesacker,Centre-Back,21,Hannover 96,1.Bundesliga,Werder Bremen,1.Bundesliga,2006-2007,10000000.0,4700000
